alegra_id,codigo,referencia,nombre,precio_actual_shopify,precio_mayoristas_con_iva,precio_general_con_iva,diferencia_vs_mayorista,situacion,otras_listas_con_iva
423,7509552787009,7509552787009,Esmalte Efecto Gel Guayaquil Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
1015,7509552924169,7509552924169,Esmalte Efecto Gel Vibra Latina Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
1235,7509552845532,7509552845532,Esmalte Efecto Gel Infinita Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
413,7702433330596,7702433330596,Esmalte Efecto Gel Voluntad Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
1237,7509552958270,7509552958270,Esmalte Efecto Gel Grafiti Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
452,7509552807509,7509552807509,Esmalte Efecto Gel Alegre Vogue,7846,8718.32,11177.33,-872.32,POR DEBAJO del mayorista (-872.32),Lista Subdistribuidor PC=7795.2; clientespremium=8282.4; Lista Supermercados=8718.32
1519,7707559884848,7707559884848,Corrector Bonita 01 Bone Ani-K,15900,16666.67,23809.52,-766.67,POR DEBAJO del mayorista (-766.67),Lista Subdistribuidor PC=15000; Lista Caribe Supermercados=17500; clientespremium=16166.67
1521,7707559882783,7707559882783,Corrector Bonita 05 Golden Brown Ani-K,15900,16666.67,23809.52,-766.67,POR DEBAJO del mayorista (-766.67),Lista Subdistribuidor PC=15000; Lista Caribe Supermercados=17500; clientespremium=16166.67
1519,7707559884848,7707559884848,Corrector Bonita 01 Bone Ani-K,15900,16666.67,23809.52,-766.67,POR DEBAJO del mayorista (-766.67),Lista Subdistribuidor PC=15000; Lista Caribe Supermercados=17500; clientespremium=16166.67
1520,7707559880161,7707559880161,Corrector Bonita 02 Radiant Ani-K,15900,16666.67,23809.52,-766.67,POR DEBAJO del mayorista (-766.67),Lista Subdistribuidor PC=15000; Lista Caribe Supermercados=17500; clientespremium=16166.67
1521,7707559882783,7707559882783,Corrector Bonita 05 Golden Brown Ani-K,15900,16666.67,23809.52,-766.67,POR DEBAJO del mayorista (-766.67),Lista Subdistribuidor PC=15000; Lista Caribe Supermercados=17500; clientespremium=16166.67
1471,6972858367076,6972858367076,Labial Magico Dream Lips Froot Kiss Ruby Rose,10193,10926.68,15609.54,-733.68,POR DEBAJO del mayorista (-733.68),clientespremium=10598.87
1262,7509552976083,7509552976083,Esmalte Secado Rapido Pasion Profunda Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
1249,7509552956948,7509552956948,Esmalte Secado Rapido Amorosa Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
1699,7509552956962,7509552956962,Esmalte Secado Rapido Rojo Antojo Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
1255,7509552975994,7509552975994,Esmalte Secado Rapido Baile Intenso Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
1249,7509552956948,7509552956948,Esmalte Secado Rapido Amorosa Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
1258,7509552976021,7509552976021,Esmalte Secado Rapido Fuego Puro Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
1250,7509552956955,7509552956955,Esmalte Secado Rapido Dulzura Real Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
1259,7509552976038,7509552976038,Esmalte Secado Rapido Corazon Fuerte Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
1262,7509552976083,7509552976083,Esmalte Secado Rapido Pasion Profunda Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
1256,7509552976007,7509552976007,Esmalte Secado Rapido Amor Latino Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
1245,7509552956894,7509552956894,Esmalte Secado Rapido Brisa Tropical Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
